Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
alarm,N/A,N/A,0.036771626959551_probability_max_VENTTUBE=0,2,0,0.0001,true,false,estimate,delta,true,	60,0.146,100.0,57
alarm,N/A,N/A,0.036771626959551_probability_max_VENTTUBE=0,2,0,0.0001,true,true,estimate,delta,true,	15,0.139,100.0,5
alarm,N/A,N/A,0.0367749367369551_probability_max_VENTTUBE=0,2,0,1e-05,true,false,estimate,delta,true,	60,0.149,100.0,69
alarm,N/A,N/A,0.033097774041_probability_max_VENTTUBE=0,2,0,0.1,true,true,estimate,delta,true,	15,0.138,100.0,5
alarm,N/A,N/A,0.036771626039643_probability_max_VENTTUBE=0,2,"0,0.8",0.0001,false,false,estimate,delta,true,	60,0.143,100.0,57
alarm,N/A,N/A,0.033097773213000004_probability_max_VENTTUBE=0,2,"0,0.8",0.1,false,false,estimate,delta,true,	60,0.138,100.0,17
alarm,N/A,N/A,0.036771626039643_probability_max_VENTTUBE=0,2,"0,0.8",0.0001,true,true,estimate,delta,true,	15,0.141,100.0,1
alarm,N/A,N/A,0.036771626039643_probability_max_VENTTUBE=0,2,"0,0.8",0.0001,true,false,estimate,delta,true,	60,0.146,100.0,57
alarm,N/A,N/A,0.033097773213000004_probability_max_VENTTUBE=0,2,"0,0.8",0.1,false,false,estimate,delta,true,	60,0.138,100.0,17
alarm,N/A,N/A,0.036407550534300004_probability_max_VENTTUBE=0,2,"0,0.8",0.01,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.0367749358169643_probability_max_VENTTUBE=0,2,"0,0.8",1e-05,false,false,estimate,delta,true,	60,0.145,100.0,69
alarm,N/A,N/A,0.036771626039643_probability_max_VENTTUBE=0,2,"0,0.8",0.0001,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.036407550534300004_probability_max_VENTTUBE=0,2,"0,0.8",0.01,true,true,estimate,delta,true,	15,0.138,100.0,1
alarm,N/A,N/A,0.033097773213000004_probability_max_VENTTUBE=0,2,"0,0.8",0.1,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.036407550534300004_probability_max_VENTTUBE=0,2,"0,0.8",0.01,false,false,estimate,delta,true,	60,0.14,100.0,29
alarm,N/A,N/A,0.036771626039643_probability_max_VENTTUBE=0,2,"0,0.8",0.0001,false,false,estimate,delta,true,	60,0.142,100.0,57
alarm,N/A,N/A,0.0367749358169643_probability_max_VENTTUBE=0,2,"0,0.8",1e-05,false,false,estimate,delta,true,	60,0.145,100.0,69
alarm,N/A,N/A,0.033097773213000004_probability_max_VENTTUBE=0,2,"0,0.8",0.1,true,false,estimate,delta,true,	60,0.139,100.0,17
alarm,N/A,N/A,0.0367749358169643_probability_max_VENTTUBE=0,2,"0,0.8",1e-05,true,false,estimate,delta,true,	60,0.147,100.0,69
alarm,N/A,N/A,0.036407550534300004_probability_max_VENTTUBE=0,2,"0,0.8",0.01,true,false,estimate,delta,true,	60,0.141,100.0,29
alarm,N/A,N/A,0.033097773213000004_probability_max_VENTTUBE=0,2,"0,0.8",0.1,true,true,estimate,delta,true,	15,0.137,100.0,1
alarm,N/A,N/A,0.0367749358169643_probability_max_VENTTUBE=0,2,"0,0.8",1e-05,true,true,estimate,delta,true,	15,0.141,100.0,1
alarm,N/A,N/A,0.0367749358169643_probability_max_VENTTUBE=0,2,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.036407550534300004_probability_max_VENTTUBE=0,2,"0,0.8",0.01,false,false,estimate,delta,true,	60,0.14,100.0,29
alarm,N/A,N/A,0.120758028237_probability_max_VENTTUBE=0,2,"0.2,1",0.01,true,false,estimate,delta,true,	60,0.141,100.0,29
alarm,N/A,N/A,0.120758028237_probability_max_VENTTUBE=0,2,"0.2,1",0.01,false,false,estimate,delta,true,	60,0.14,100.0,29
alarm,N/A,N/A,0.121976586521937_probability_max_VENTTUBE=0,2,"0.2,1",1e-05,true,true,estimate,delta,true,	15,0.155,100.0,69
alarm,N/A,N/A,0.121976586521937_probability_max_VENTTUBE=0,2,"0.2,1",1e-05,true,false,estimate,delta,true,	60,0.158,100.0,69
alarm,N/A,N/A,0.120758028237_probability_max_VENTTUBE=0,2,"0.2,1",0.01,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.121976586521937_probability_max_VENTTUBE=0,2,"0.2,1",1e-05,false,false,estimate,delta,true,	60,0.147,100.0,69
alarm,N/A,N/A,0.120758028237_probability_max_VENTTUBE=0,2,"0.2,1",0.01,false,false,estimate,delta,true,	60,0.14,100.0,29
alarm,N/A,N/A,0.12196560851937001_probability_max_VENTTUBE=0,2,"0.2,1",0.0001,true,false,estimate,delta,true,	60,0.145,100.0,53
alarm,N/A,N/A,0.121976586521937_probability_max_VENTTUBE=0,2,"0.2,1",1e-05,false,false,estimate,delta,true,	60,0.147,100.0,69
alarm,N/A,N/A,0.10978002567_probability_max_VENTTUBE=0,2,"0.2,1",0.1,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.12196560851937001_probability_max_VENTTUBE=0,2,"0.2,1",0.0001,false,false,estimate,delta,true,	60,0.145,100.0,53
alarm,N/A,N/A,0.121976586521937_probability_max_VENTTUBE=0,2,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.10978002567_probability_max_VENTTUBE=0,2,"0.2,1",0.1,false,false,estimate,delta,true,	60,0.138,100.0,13
alarm,N/A,N/A,0.120758028237_probability_max_VENTTUBE=0,2,"0.2,1",0.01,true,true,estimate,delta,true,	15,0.144,100.0,29
alarm,N/A,N/A,0.10978002567_probability_max_VENTTUBE=0,2,"0.2,1",0.1,true,true,estimate,delta,true,	15,0.141,100.0,13
alarm,N/A,N/A,0.12196560851937001_probability_max_VENTTUBE=0,2,"0.2,1",0.0001,false,false,estimate,delta,true,	60,0.144,100.0,53
alarm,N/A,N/A,0.10978002567_probability_max_VENTTUBE=0,2,"0.2,1",0.1,false,false,estimate,delta,true,	60,0.137,100.0,13
alarm,N/A,N/A,0.12196560851937001_probability_max_VENTTUBE=0,2,"0.2,1",0.0001,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.10978002567_probability_max_VENTTUBE=0,2,"0.2,1",0.1,true,false,estimate,delta,true,	60,0.137,100.0,13
alarm,N/A,N/A,0.12196560851937001_probability_max_VENTTUBE=0,2,"0.2,1",0.0001,true,true,estimate,delta,true,	15,0.152,100.0,53
brp,N=16 MAX=2 ,N/A,0.023738512742753605_probability_min_uncertain,4,0.1,1e-05,true,true,estimate,delta,true,	177,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.023738512742753605_probability_min_uncertain,4,0.1,1e-05,true,false,estimate,delta,true,	324,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.023740649187536_probability_min_uncertain,4,0.1,0.0001,true,false,estimate,delta,true,	324,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.026112102896000005_probability_min_uncertain,4,0.1,0.1,true,true,estimate,delta,true,	177,0.507,100.0,1185
brp,N=16 MAX=2 ,N/A,0.0239756581136_probability_min_uncertain,4,0.1,0.01,true,false,estimate,delta,true,	324,6.976,100.0,27709
brp,N=16 MAX=2 ,N/A,0.0239756581136_probability_min_uncertain,4,0.1,0.01,true,true,estimate,delta,true,	177,10.813,100.0,27709
brp,N=16 MAX=2 ,N/A,0.023740649187536_probability_min_uncertain,4,0.1,0.0001,true,true,estimate,delta,true,	177,TO,TO,TO
